BASIN,y1,y2,ychange,axis,lsr_ax,dist_cent_ax,sorensen_ax
BLK,2007,2008,1,TT,-7.436493455896749,0.47938713591936727,9.424016434146788e-4
BLK,2007,2008,1,HW,-6.916664566146321,0.5886728516438021,0.0017473216171025351
BLK,2007,2008,1,SF,-2.4569091436418877,0.6200033636769303,0.15505415084589955
BLK,2007,2008,1,TMA,-7.6417342972425875,0.7036201529487766,5.997062379601297e-4
BLK,2007,2008,1,TDR,-7.113010938400203,0.5662790212142875,0.0012519635377853137
BLK,2007,2008,1,sg_rich,-7.688571094426234,0.7149480608327613,7.848385571471082e-4
BLK,2007,2009,2,TT,-4.259006092992166,1.3166169411083315,0.008294456500193679
BLK,2007,2009,2,HW,-4.174893305927778,1.2732098841332267,0.0069293423586101145
BLK,2007,2009,2,SF,1.0755158053536273,1.236939611297282,0.4057488250343785
BLK,2007,2009,2,TMA,-4.844016988295493,1.0041218850868527,0.007515581268402474
BLK,2007,2009,2,TDR,-4.785580555836844,0.7140217306923036,0.007813655067458215
BLK,2007,2009,2,sg_rich,-4.037701718190378,1.2320112290689376,0.008026347279722242
BLK,2007,2010,3,TT,2.363702729353072,2.707984012228256,0.10579489526307294
BLK,2007,2010,3,HW,2.4293980287680657,2.5260828130321955,0.10478690576526707
BLK,2007,2010,3,SF,1.3691098522558522,2.5829202329507828,0.2452467387511414
BLK,2007,2010,3,TMA,0.8974174964214049,2.2817831547702108,0.3023702139451768
BLK,2007,2010,3,TDR,1.324563118311241,1.2740254141933556,0.24430904248221763
BLK,2007,2010,3,sg_rich,2.0738912687824413,2.444475521753053,0.1298779989047036
BLK,2007,2011,4,TT,-1.2081905014859986,1.0150909169531868,0.2190893135457479
BLK,2007,2011,4,HW,-0.3826025392956397,0.8117290071124437,0.33847271249659155
BLK,2007,2011,4,SF,-0.7072085709053647,0.9319119949980307,0.3881771548611489
BLK,2007,2011,4,TMA,-2.0885797264337853,0.5332942470592146,0.15242054211095973
BLK,2007,2011,4,TDR,-1.6176668074978118,0.7995291545508851,0.18929963801568067
BLK,2007,2011,4,sg_rich,-1.1047184379092165,0.9186033738641696,0.22297856966616353
BLK,2007,2012,5,TT,-5.9891017925112084,0.7728910877151054,0.003255358091010692
BLK,2007,2012,5,HW,-6.56773780428979,0.9036365241169361,0.0015199177115794943
BLK,2007,2012,5,SF,-1.375932394427419,0.9037584971470105,0.28665707225890225
BLK,2007,2012,5,TMA,-7.011872005798379,0.5925789896529932,0.0010803705840255052
BLK,2007,2012,5,TDR,-6.822523453807865,0.8740161097922495,0.001329514906364012
BLK,2007,2012,5,sg_rich,-6.82327125251663,0.9551294589518061,0.0016908463711363994
BLK,2007,2013,6,TT,0.8923705028660536,0.49339442356262986,0.35889663675823286
BLK,2007,2013,6,HW,0.3232488825538252,0.7559300780584275,0.31524014382726395
BLK,2007,2013,6,SF,-1.0863199234205196,0.7395577574957406,0.38443496232955726
BLK,2007,2013,6,TMA,-0.19224792572799349,0.5923437783328025,0.34097415825962557
BLK,2007,2013,6,TDR,0.053585318007818565,0.7204611889936338,0.31171421906802693
BLK,2007,2013,6,sg_rich,-0.08366993107782951,0.7728614427016405,0.3045784106645229
BLK,2007,2014,7,TT,-0.6303196778213939,0.5635108836563454,0.3592355783179555
BLK,2007,2014,7,HW,-0.09820317233732972,0.5114184662304053,0.4110176031858752
BLK,2007,2014,7,SF,-1.50213457320645,0.5581008879720112,0.3193128308886689
BLK,2007,2014,7,TMA,-0.8948241167047014,0.503769822393441,0.3455262480074363
BLK,2007,2014,7,TDR,0.05337332214211351,0.4165028757854553,0.43849172962004995
BLK,2007,2014,7,sg_rich,-0.502480126323791,0.6127737820323328,0.3695912151917328
BLK,2007,2015,8,TT,0.8451873646326724,0.7079223367359004,0.3825634786714602
BLK,2007,2015,8,HW,0.3631982847904176,0.8358543415031464,0.35916189115651165
BLK,2007,2015,8,SF,-0.002953124106861962,0.8439233989818229,0.4759264134223856
BLK,2007,2015,8,TMA,-0.4545837020718074,0.5282661158229088,0.438492729840727
BLK,2007,2015,8,TDR,-0.18409417891176597,0.7058307543107535,0.4197211453452558
BLK,2007,2015,8,sg_rich,0.30848187418023565,0.8036531241526729,0.36117150964103895
