BASIN,y1,y2,ychange,lsr,dist_cent,jaccard,sorensen,uniq_y1,uniq_y2
BLK,2007,2008,1,-7.9651679540243325,0.6594462139107925,5.142775745397347e-5,1.028502255514932e-4,0.9999485570245383,0.8519001665575199
BLK,2007,2009,2,-4.255511946752651,1.2724770158011818,0.00270304088544294,0.0053915083035072945,0.997266004347567,0.8072727272727273
BLK,2007,2010,3,2.033646594692024,2.598457962444055,0.051194830230461466,0.0974031240607179,0.5791258477769405,0.944925474976937
BLK,2007,2011,4,-1.5096438341980662,0.9076878951592358,0.07682399596199564,0.1426862630292035,0.9128908445562721,0.6058207217694994
BLK,2007,2012,5,-6.987309117274123,0.9215912894344552,6.517253020902791e-4,0.001302601665716466,0.9993480976723925,0.29411764705882343
BLK,2007,2013,6,-0.06550003034452526,0.7341026695560868,0.1634959156955544,0.2810425262177465,0.7278666598076033,0.7094452002789673
BLK,2007,2014,7,-0.7654675773389382,0.5612821220989433,0.16989535102335657,0.29044538193051533,0.7872318534904059,0.5425486061378074
BLK,2007,2015,8,0.05444825175763371,0.7990877263710796,0.17353001179434221,0.2957402197648318,0.6959852896107876,0.7120957850273731
BLK,2007,2016,9,-1.442400225361138,1.2220832952874872,0.06761898197627188,0.12667249855580917,0.9216936100053815,0.6686983021332172
BLK,2007,2017,10,-0.5023567361078153,0.6359872861841558,0.09151462325945449,0.16768373287785324,0.865425176192191,0.7776001047662766
BLK,2007,2018,11,-0.45649665438754455,1.1250896923137537,0.1230036244499343,0.21906184765909997,0.821081331344205,0.7175707739558932
BLK,2007,2019,12,-6.460138829036511,0.8526984632215177,9.90331575839813e-4,0.0019787035790460694,0.9990091002919517,0.36666666666666675
BLK,2007,2021,14,1.1778915405836596,1.0512457844615468,0.1264248670608668,0.2244710157913007,0.5232774674115456,0.8532041144250306
BLK,2007,2022,15,2.23790529050208,1.027967587269862,0.06347836948965334,0.11937876934932981,0.38080168776371304,0.9339428480434667
BLK,2007,2023,16,0.6706853924930831,1.7038636392422366,0.10720696057669137,0.1936529743650679,0.7138218421907133,0.8536605162377316
BLK,2008,2009,1,3.709656007271682,1.6176232557332624,4.725902931590793e-4,9.447341141461969e-4,0.980236277810937,0.9995160665892374
BLK,2008,2010,2,9.998814548716357,2.9094265457537873,0,0,0,1
BLK,2008,2011,3,6.455524119826267,1.0477665583709825,5.757590985045403e-4,0.0011508555814370035,0.6333333333333334,0.9994236677431071
BLK,2008,2012,4,0.9778588367502097,0.8531766685420561,0.002445065814892721,0.004878204099703188,0.9910759175465058,0.996643513711601
BLK,2008,2013,5,7.899667923679807,0.7243764440693541,2.118901364633521e-4,4.2369049708945765e-4,0.4285714285714286,0.9997880761851121
BLK,2008,2014,6,7.199700376685395,0.4107922413587403,5.86685033895588e-4,0.0011726820727695647,0.21428571428571433,0.9994132210785377
BLK,2008,2015,7,8.019616205781967,0.8689603697866441,1.3155253427577225e-4,2.6307046096571136e-4,0.6,0.9998684215014968
BLK,2008,2016,8,6.522767728663195,1.3171435204479491,4.1944428319910516e-4,8.385368469115216e-4,0.7142857142857143,0.9995801154213356
BLK,2008,2017,9,7.462811217916517,0.5352959494032214,3.130311302219081e-4,6.258663447945373e-4,0.45454545454545464,0.9996868871913978
BLK,2008,2018,10,7.508671299636788,1.1115244809565028,3.837532758082656e-4,7.672121314478482e-4,0.3000000000000001,0.9996161835995628
BLK,2008,2019,11,1.5050291249878218,0.832377624934349,0.002284187631519912,0.004557964018004984,0.9874558339327799,0.9972150593089221
BLK,2008,2021,13,9.143059494607993,1.1624266234226643,1.069595861257758e-4,2.138962939924723e-4,0,0.9998930404138743
BLK,2008,2022,14,10.203073244526413,1.1576053260685653,0,0,0,1
BLK,2008,2023,15,8.635853346517417,1.692620240621257,1.77621913797693e-4,3.551807397126541e-4,0,0.9998223780862022
BLK,2009,2010,1,6.2891585414446745,1.3337247456947656,0.001002561833480765,0.0020031154198934882,0.4594594594594594,0.9989965830771358
BLK,2009,2011,2,2.745868112554584,0.7529287774579657,0.006581432166124778,0.01307680025839894,0.8916055419722901,0.9930418832910355
BLK,2009,2012,3,-2.7317971705214728,1.071741322980817,9.095344499511289e-4,0.0018174158975335622,0.9990321331784746,0.9851331130385641
BLK,2009,2013,4,4.1900119164081255,1.0024539440298263,0.0026786645223158454,0.005343016894833366,0.8209459459459459,0.9972880286067739
BLK,2009,2014,5,3.490044369413712,1.4530353856723663,0.003332656977766753,0.0066431745335696814,0.8877721943048575,0.996577105919609
BLK,2009,2015,6,4.309960198510284,0.8594056417114561,0.003397234245747717,0.006771464241281098,0.7445887445887446,0.9965687836687007
BLK,2009,2016,7,2.8131117213915124,0.7579114868615794,0.003736313254595512,0.007444810365544291,0.9342560553633219,0.9960541837173627
BLK,2009,2017,8,3.753155210644835,1.1508969162795584,0.001978617870277499,0.003949421344904714,0.9137931034482758,0.9979789948832187
BLK,2009,2018,9,3.7990152923651057,0.9923632912665589,0.002586395413980689,0.005159446459300366,0.8822170900692841,0.9973625095146674
BLK,2009,2019,10,-2.2046268822838604,1.0612980912398688,0.0012655981117805125,0.0025279967955899392,0.9985965931087882,0.9872754950687077
BLK,2009,2021,12,5.43340348733631,0.9167715218019744,0.0012591850382797172,0.0025152029706106047,0.710843373493976,0.9987369050556747
BLK,2009,2022,13,6.4934172372547305,1.1413906102185725,7.561121728660667e-4,0.0015110817983901743,0.5,0.9992433156889153
BLK,2009,2023,14,4.926197339245734,1.419586344257051,0.0020382403121523857,0.004068188678143537,0.717557251908397,0.997951150268308
BLK,2010,2011,1,-3.5432904288900904,1.9564111303783656,0.021708042787930856,0.042493631994314544,0.9781387682021303,0.24402730375426623
BLK,2010,2012,2,-9.020955711966147,2.2742111084600385,6.042163535098969e-5,1.2083596959508723e-4,0.9999395747136545,0.5
BLK,2010,2013,3,-2.0991466250365494,2.265860186969412,0.06850152383074039,0.1282197962341729,0.9280327303199094,0.4128043595800852
BLK,2010,2014,4,-2.7991141720309622,2.751432597380478,0.03797946131157359,0.07317960080555616,0.961183199677965,0.36223662884927066
BLK,2010,2015,5,-1.9791983429343905,2.1116559185026693,0.08252008716306675,0.1524592257300741,0.9132369818311594,0.3721013200142704
BLK,2010,2016,6,-3.476046820053162,1.7694662628907118,0.023106730829911475,0.04516973671196168,0.9767165943288059,0.24720893141945782
BLK,2010,2017,7,-2.5360033307998395,2.4065584255772534,0.04153114342274135,0.07975017105347276,0.9569675161433431,0.4565386451397604
BLK,2010,2018,8,-2.4901432490795687,2.0681158730149374,0.05765365589464835,0.10902180609564528,0.9409702471699383,0.2879238548483047
BLK,2010,2019,9,-8.493785423728536,2.2690253584295026,1.5354472288628006e-4,3.070423010475314e-4,0.9998464474180508,0.25
BLK,2010,2021,11,-0.8557550541083645,2.0457649509233717,0.17890635613244463,0.3035124125030086,0.7837531424064672,0.4911386063049863
BLK,2010,2022,12,0.2042586958100562,2.2748883594692964,0.1940451577606348,0.3250214725958199,0.6381510865815799,0.7050021516316171
BLK,2010,2023,13,-1.3629612021989412,2.2107356625728762,0.16413729121657725,0.2819895770971243,0.8229243804598192,0.3080331342708534
BLK,2011,2012,1,-5.477665283076057,0.5531389957248947,0.0013715464804321545,0.002739335834441859,0.9986246081374518,0.6708860759493672
BLK,2011,2013,2,1.444143803853541,0.5509383625344914,0.08206425650937178,0.15168093025104193,0.6027308192457738,0.9062651282120094
BLK,2011,2014,3,0.744176256859128,0.8311587764879511,0.12519063734426952,0.22252342525663144,0.6545649838882922,0.8358750082837508
BLK,2011,2015,4,1.5640920859556997,0.3894701180088801,0.0948131508809677,0.1732042601144753,0.49958391123439677,0.8952739551433192
BLK,2011,2016,5,0.06724360883692806,0.42011042741574106,0.17913462637311525,0.30384083779154736,0.6855921855921856,0.7060389409380353
BLK,2011,2017,6,1.007287098090251,0.6139124956563469,0.08692414611092798,0.15994519290411788,0.7010494338580502,0.8908207386384932
BLK,2011,2018,7,1.0531471798105216,0.4468795524899042,0.15389272372364066,0.2667366221480711,0.4843102427471877,0.8201077322488826
BLK,2011,2019,8,-4.9504949948384445,0.4212008599877627,0.002401203978301547,0.004790904018813458,0.9975875884214179,0.6592592592592593
BLK,2011,2021,10,2.6875353747817257,0.37749774275092085,0.049873104473680534,0.09500787144877433,0.2544061302681992,0.9492634952334659
BLK,2011,2022,11,3.7475491247001465,0.5644601775929021,0.0192170629994789,0.037709460912917867,0.18138424821002386,0.9807007606826403
BLK,2011,2023,12,2.1803292266911494,0.9946896034473396,0.07416805533499096,0.13809395087970822,0.3199412052915238,0.9231504180195744
BLK,2012,2013,1,6.921809086929597,0.2696383601422351,7.26370612241727e-4,0.001451686761881443,0.2631578947368422,0.999273440905196
BLK,2012,2014,2,6.221841539935185,0.6878799787373375,7.828428546441064e-4,0.0015644609821869383,0.6052631578947368,0.9992162163235315
BLK,2012,2015,3,7.041757369031757,0.26565424311547625,4.662567609733333e-4,9.320789338420019e-4,0.4666666666666667,0.9995335529404434
BLK,2012,2016,4,5.544908891912985,0.7513726776638128,8.82986408319889e-4,0.0017644148622977314,0.7733333333333333,0.9991143455204838
BLK,2012,2017,5,6.484952381166307,0.6061932779577537,5.082273650570587e-4,0.0010159384024167968,0.6666666666666667,0.9994912555192089
BLK,2012,2018,6,6.530812462886578,0.5448801868033909,5.722089052105808e-4,0.0011437633388532164,0.6071428571428572,0.9994272846294987
BLK,2012,2019,7,0.527170288237612,0.3353817967980912,0.004201079732357356,0.008367008992814548,0.9887290882731707,0.9933470861268696
BLK,2012,2021,9,8.165200657857783,0.4967531995688087,2.2749072640230303e-4,4.5487797228426673e-4,0.19999999999999996,0.9997724963348542
BLK,2012,2022,10,9.225214407776203,0.6844994817116747,5.6237428603045576e-5,1.1246853226503781e-4,0.4291742844813582,0.9999437601934649
BLK,2012,2023,11,7.657994509767206,1.0119123050920182,2.3607103812361174e-4,4.7203064348319025e-4,0.5,0.9997638732191821
BLK,2013,2014,1,-0.6999675469944129,0.6266741803518215,0.21604614968684177,0.35532557665262676,0.7341096187561296,0.46457990115321257
BLK,2013,2015,2,0.11994828210215873,0.20943658302263785,0.2432547336854317,0.39131921575611717,0.583746209220612,0.6307969121829474
BLK,2013,2016,3,-1.3769001950166129,0.7967642694482392,0.08970195136678717,0.16463575430745286,0.8969084156820561,0.5914893617021276
BLK,2013,2017,4,-0.43685670576329,0.4311745525468912,0.23037776362430726,0.3744829765871037,0.6917885264341957,0.5229397202146538
BLK,2013,2018,5,-0.3909966240430194,0.6502470141820952,0.23857211975715087,0.3852373486397032,0.6770974368555447,0.5226035681886907
BLK,2013,2019,6,-6.394638798691986,0.42153890748659556,0.0010434020890341207,0.0020846290717399262,0.9989559442890199,0.375
BLK,2013,2021,8,1.2433915709281849,0.6412955773939457,0.20123072941618272,0.33504092842177635,0.25162689804772226,0.7841658945899376
BLK,2013,2022,9,2.3034053208466054,0.8055213402347867,0.0770138747197114,0.14301370953044398,0.21283783783783788,0.9213483225449094
BLK,2013,2023,10,0.7361854228376085,1.239471067521491,0.21618973895259339,0.3555197549007119,0.45108538450963925,0.7371042727473986
BLK,2014,2015,1,0.8199158290965718,0.7187140900867203,0.1767676169534288,0.3004290981613993,0.5087520479342972,0.7836206396192467
